count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

















18, 9000,  0.363,  2.129, -0.041, 
18, 9000,  0.330, -2.072,  0.183, 
18, 9000, -0.083,  2.124,  0.132, 
18, 9000,  0.084,  2.115, -0.355, 
18, 9000,  3.385, -3.410,  0.298, 
18, 9000, -0.033, -2.173,  0.113, 
18, 9000,  4.310, -2.751,  0.205, 
18, 9000, 10.783,  0.907,  0.563, 
18, 9000,  2.563, -3.814, -0.170, 
18, 9000,  2.999, -3.689,  0.133, 
18, 9000,  1.698, -4.205,  0.350, 
18, 9000,  0.332, -2.171, -0.265, 

19, 9500, -0.034,  2.123, -0.121, 
19, 9500,  0.328, -2.074,  0.084, 
19, 9500,  3.084, -3.555,  0.245, 
19, 9500, -0.110, -2.142,  0.187, 
19, 9500,  4.277, -2.724,  0.142, 
19, 9500,  2.552, -3.781, -0.087, 
19, 9500,  1.677, -4.177,  0.347, 
19, 9500,  1.754,  2.586,  0.273, 
19, 9500,  1.855,  2.655, -0.120, 
19, 9500,  1.079, -4.338, -0.009, 

20, 10000, -0.158,  2.041, -0.076, 
20, 10000,  0.326, -2.052,  0.058, 
20, 10000,  3.068, -3.557,  0.132, 
20, 10000, -0.143, -2.131,  0.165, 
20, 10000,  3.662, -3.161,  0.135, 
20, 10000,  2.554, -3.784, -0.087, 
20, 10000,  1.864,  2.573,  0.277, 
20, 10000,  1.957,  2.623, -0.121, 
20, 10000,  0.298, -2.120, -0.409, 
20, 10000,  2.434, -4.027,  0.410, 
20, 10000,  2.100, -4.138,  0.241, 

21, 10500, -0.073,  1.813, -0.004, 
21, 10500, -0.057, -1.895,  0.053, 
21, 10500,  2.730, -3.786, -0.173, 
21, 10500,  2.468,  2.480,  0.305, 
21, 10500,  2.378, -3.933,  0.401, 
21, 10500,  2.115, -4.176,  0.244, 
21, 10500,  4.313, -2.747,  0.143, 
21, 10500,  1.065, -4.334,  0.058, 
21, 10500,  0.101,  1.817, -0.067, 
21, 10500,  1.688, -4.204,  0.349, 

22, 11000, -0.013,  1.696,  0.088, 
22, 11000, -0.118, -1.773,  0.137, 
22, 11000,  2.582, -3.823, -0.088, 
22, 11000,  2.831,  2.454,  0.327, 
22, 11000,  2.426, -3.964,  0.358, 
22, 11000,  2.095, -4.122,  0.241, 
22, 11000,  1.021, -4.359, -0.009, 
22, 11000,  1.683, -4.200,  0.317, 
22, 11000,  0.288, -2.056,  0.058, 
22, 11000, 14.214,  4.685,  1.305, 
22, 11000,  3.654, -3.158,  0.063, 

23, 11500, -0.135,  1.836,  0.161, 
23, 11500, -0.164, -1.972,  0.079, 
23, 11500,  2.936,  2.492,  0.336, 
23, 11500,  2.367, -3.997,  0.405, 
23, 11500,  0.334, -2.060, -0.040, 
23, 11500,  1.409, -4.315,  0.059, 
23, 11500, 14.195,  4.687,  1.304, 
23, 11500, -0.099,  1.934, -0.371, 
23, 11500,  3.080, -3.558,  0.188, 

24, 12000, -0.098,  1.860,  0.052, 
24, 12000, -0.178, -2.024,  0.157, 
24, 12000,  3.152,  2.679,  0.361, 
24, 12000,  2.403, -3.935,  0.356, 
